login,country,pre_classifier_score,post_classifier_score,pre_commits,post_commits
JeffersonSenaa,BR,0.0237,0.0237,38,47
lgthevinh,VN,0.0303,0.029,80,20
Aisuko,AU,0.1105,0.1197,54,46
ThomasAurelius,US,0.0255,0.0333,40,12
Hello-LSY,KR,0.0258,0.0447,27,73
jincito,US,0.0369,0.029,19,16
libondev,CN,0.06,0.1404,56,13
samettcelik,TR,0.2105,0.0535,11,5
jjd214,PH,0.0418,0.0821,6,94
getmarkus,US,0.0513,0.1383,42,53
dobinpark,KR,0.041,0.0381,36,51
NirmalScaria,IN,0.0362,0.0361,25,10
SlemimanPzz,MX,0.0581,0.0253,92,8
twoneis,NL,0.0252,0.1358,21,56
MineRaphi,AT,0.0384,0.0462,5,21
TheCyberWeaver,DE,0.0416,0.0907,50,7
ShantoOBS,BD,0.1931,0.1237,37,63
AnJungGeon,KR,0.193,0.0628,6,6
Soohwan123,KR,0.0744,0.0465,27,6
cyyever,SG,0.0332,0.0331,10,9
GufengYu520,CN,0.0336,0.0351,30,32
tombch,CH,0.0426,0.0891,39,9
leonnicolas,DE,0.1028,0.1294,16,16
iamnotluka,AU,0.0486,0.0435,74,26
maxidragon,PL,0.0237,0.0267,95,5
Faralha,ID,0.0424,0.0673,19,6
SvetimFM,US,0.2086,0.266,5,80
Lampese,CN,0.0235,0.0241,56,31
Erliandikasyahputraa,ID,0.18,0.1318,6,32
peruvianidol,US,0.0707,0.1384,6,43
yejively,KR,0.1925,0.0334,8,5
Tom-lchg,FR,0.2124,0.0635,12,8
huanxiaomang,CN,0.033,0.2356,14,6
ThiruDev50,IN,0.1682,0.0644,16,21
M-Laetitia,FR,0.1277,0.0403,93,7
Norhan-salem,EG,0.0354,0.0286,32,31
dhdeangelis,SE,0.0782,0.1282,5,15
Pritam1136,IN,0.0255,0.0265,17,5
UKChris-osm,GB,0.0301,0.0303,27,44
kietdz0505,VN,0.0697,0.0444,40,5
cattyman919,ID,0.0287,0.0329,81,8
AlchlcDvl,CA,0.0304,0.0302,40,60
abhiram2504,US,0.0335,0.0291,30,13
vishan01,IN,0.1423,0.0331,77,23
victoriaEssien,NG,0.0302,0.0243,34,8
EstebanBiret,FR,0.0311,0.0259,58,42
vm75,US,0.0237,0.0515,43,19
chgeo,DE,0.2618,0.0906,10,25
jfparie,NL,0.0912,0.0339,12,18
ThomasCaneday,US,0.0425,0.0536,6,36
Guiiiiiiiiiiiiiiiiiilllllleeeee,MX,0.0388,0.1239,7,42
homeboy445,IN,0.0309,0.0297,10,17
srloris,BR,0.0311,0.0377,39,26
dajkagabi,HU,0.0364,0.0485,12,9
BettyJoya,CN,0.1657,0.1742,13,19
HelloSJ00,KR,0.185,0.0569,5,95
luis-ffe,PT,0.0486,0.0488,71,29
